date,open,high,low,close,volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,is_trading_day
2018-02-11 22:30:00,8372.15,8449.9,8335.0,8449.86,803.855325,10562,401.885378,3373247.22963201,1
2018-02-11 23:00:00,8445.06,8500.85,8299.0,8312.69,1283.656718,15375,658.459692,5559264.79536633,1
2018-02-11 23:30:00,8323.01,8368.87,8230.8,8309.94,1217.472362,14511,583.784633,4842897.75845558,1
2018-02-12 00:00:00,8309.94,8380.0,8208.0,8220.0,887.852576,12618,417.740722,3463563.78840976,1
2018-02-12 00:30:00,8220.0,8280.0,8151.2,8202.84,872.595198,12622,422.335886,3466931.50368393,1
2018-02-12 01:00:00,8209.0,8300.0,8187.42,8212.19,772.740455,10441,389.622324,3214389.08157716,1
2018-02-12 01:30:00,8212.17,8330.0,8180.84,8313.33,671.581826,8501,415.973934,3434699.67047197,1
2018-02-12 02:00:00,8321.22,8387.0,8259.49,8360.25,752.571353,10487,459.013845,3827349.93644845,1
2018-02-12 02:30:00,8364.73,8377.23,8230.57,8285.0,537.636776,8044,253.02673,2098781.66858625,1
2018-02-12 03:00:00,8285.0,8300.0,8215.0,8270.0,458.969489,6495,178.957724,1477749.02078044,1
2018-02-12 03:30:00,8262.16,8299.0,8224.4,8246.92,412.403637,6932,160.218406,1323260.92935353,1
2018-02-12 04:00:00,8246.67,8342.21,8230.16,8284.23,464.488898,7147,224.045474,1855732.0443281,1
2018-02-12 04:30:00,8284.24,8340.0,8253.0,8315.49,581.893755,7547,336.422944,2795600.77911558,1
2018-02-12 05:00:00,8315.49,8328.0,8239.94,8262.91,384.638275,5353,204.767672,1698730.21921709,1
2018-02-12 05:30:00,8262.91,8310.65,8260.0,8283.92,345.784056,5495,191.081448,1583421.28938999,1
2018-02-12 06:00:00,8288.57,8298.0,8054.0,8080.27,1285.063488,12837,533.780239,4351925.04403343,1
2018-02-12 06:30:00,8080.27,8169.9,8015.0,8063.88,1033.70732,10895,493.190173,3985392.81649828,1
2018-02-12 07:00:00,8063.82,8218.7,8053.0,8174.0,997.148934,11081,577.215124,4698643.75373208,1
2018-02-12 07:30:00,8174.0,8270.42,8139.0,8198.42,869.892112,10150,423.287851,3472315.63785715,1
